"행정구역별(1)",2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(1)",계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),민간 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),민간 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),민간 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소),계 (개소),국·공립 어린이집 (개소),사회복지법인 어린이집 (개소),-법인·단체 등 어린이집 (개소),-민간 어린이집 (개소),가정 어린이집 (개소),부모협동  어린이집 (개소),직장 어린이집 (개소)
"전국",35550,1917,1470,14368,935,13433,17359,66,370,38021,2034,1468,14677,888,13789,19367,74,401,39842,2116,1462,15004,870,14134,20722,89,449,42527,2203,1444,869,14440,22935,113,523,43770,2332,1439,868,14751,23632,129,619,43742,2489,1420,852,14822,23318,149,692,42517,2629,1414,834,14626,22074,155,785,41084,2859,1402,804,14316,20598,157,948,40238,3157,1392,771,14045,19656,164,1053,39171,3602,1377,748,13518,18651,164,1111,37371,4324,1343,707,12568,17117,159,1153
"서울특별시",5684,626,44,2497,219,2278,2404,17,96,5870,643,43,2485,207,2278,2570,20,109,6105,658,43,2488,192,2296,2766,24,126,6538,690,42,173,2341,3119,24,149,6742,750,39,167,2337,3258,26,165,6787,844,36,154,2273,3277,27,176,6598,922,35,141,2174,3105,27,194,6368,1071,33,131,2054,2824,29,226,6226,1274,32,116,1939,2592,29,244,6008,1481,27,106,1734,2369,33,258,5698,1661,28,101,1512,2098,33,265
"부산광역시",1655,136,86,844,40,804,569,3,17,1689,141,86,848,35,813,591,4,19,1740,142,85,843,34,809,646,4,20,1830,148,84,37,810,725,4,22,1897,152,84,38,814,776,5,28,1957,155,84,39,827,814,9,29,1971,161,84,38,824,820,12,32,1937,163,82,38,804,795,13,42,1920,165,82,36,784,789,16,48,1891,180,82,36,762,764,14,53,1848,211,81,35,715,739,12,55
"대구광역시",1500,36,124,738,33,705,584,5,13,1544,37,124,741,35,706,623,5,14,1561,38,123,750,35,715,632,5,13,1580,39,123,34,722,643,5,14,1590,39,123,34,726,646,5,17,1588,42,121,34,728,639,6,18,1539,46,121,33,715,599,6,19,1483,54,121,32,689,558,5,24,1464,72,121,31,670,534,5,31,1405,102,119,29,621,493,5,36,1322,137,113,23,573,435,5,36
"인천광역시",1773,84,9,755,32,723,896,3,26,1857,98,10,768,23,745,953,2,26,1998,103,10,781,24,757,1070,4,30,2181,106,10,22,784,1218,6,35,2263,125,10,22,799,1255,8,44,2308,132,11,22,815,1274,7,47,2278,140,11,20,814,1236,6,51,2231,150,11,19,808,1181,6,56,2186,155,11,17,800,1132,6,65,2141,179,11,17,779,1086,6,63,2049,213,11,13,733,1002,6,71
"광주광역시",1153,31,107,387,25,362,612,1,15,1192,31,107,410,25,385,627,2,15,1205,30,107,422,24,398,627,3,16,1239,30,107,25,394,659,6,18,1251,31,108,24,401,658,9,20,1260,30,108,24,408,660,9,21,1264,32,108,24,422,646,10,22,1238,33,107,23,419,620,10,26,1240,32,107,23,433,606,9,30,1195,33,108,23,419,577,6,29,346,22,1,5,141,173,2,2
"대전광역시",1417,29,42,439,21,418,886,1,20,1535,29,42,443,18,425,997,2,22,1599,29,42,457,18,439,1044,2,25,1659,28,41,17,438,1107,2,26,1680,28,42,17,437,1121,4,31,1698,29,41,14,438,1138,5,33,1669,30,41,14,443,1097,6,38,1584,33,40,13,428,1013,8,49,1505,35,41,12,422,934,9,52,1406,35,41,12,398,857,8,55,1288,53,40,12,357,761,7,58
"울산광역시",660,29,13,382,6,376,224,-,12,754,30,13,414,6,408,285,-,12,818,31,13,435,6,429,327,0,12,893,31,13,6,442,387,0,14,933,32,13,5,459,402,2,20,946,33,13,5,471,396,5,23,934,33,13,5,476,377,5,25,895,36,13,5,460,347,4,30,881,41,13,5,459,325,4,34,868,52,13,5,442,316,4,36,842,72,13,5,412,300,5,35
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,5,8,4,31,56,0,2,118,5,8,4,36,61,0,4,160,8,8,4,46,86,0,8,216,10,8,4,67,115,0,12,250,14,8,4,89,123,0,12,289,16,9,4,97,150,0,13,343,29,9,4,111,177,0,13,359,51,9,4,107,173,0,15
"경기도",10465,423,75,3652,138,3514,6196,31,88,11273,464,73,3771,130,3641,6837,33,95,11825,502,72,3883,127,3756,7224,39,105,12869,521,71,131,3881,8091,50,124,13364,546,72,134,4035,8387,54,136,13259,575,70,137,4076,8186,64,151,12689,595,68,139,4005,7646,66,170,12120,625,67,132,3911,7096,65,224,11825,660,66,128,3854,6808,67,242,11682,745,67,124,3801,6617,69,259,11305,924,66,116,3642,6222,67,268
"강원도",926,75,116,426,49,377,300,2,7,1085,76,117,448,47,401,433,3,8,1147,78,117,452,47,405,488,3,9,1244,83,117,46,415,565,4,14,1265,83,115,46,412,585,4,20,1257,85,114,45,415,570,3,25,1227,87,113,45,402,545,4,31,1180,87,111,44,401,493,4,40,1149,90,109,43,395,466,4,42,1086,93,108,41,369,429,4,42,1036,109,107,40,342,393,4,41
"충청북도",1037,43,106,442,37,405,433,1,12,1112,47,108,449,36,413,493,1,14,1133,51,108,453,36,417,503,2,16,1179,52,108,36,416,542,5,20,1212,56,109,35,434,552,5,21,1229,56,109,34,440,557,7,26,1230,58,107,34,445,551,7,28,1208,59,108,33,448,525,6,29,1186,60,106,32,453,498,5,32,1157,63,106,31,450,468,5,34,1130,81,104,31,435,440,4,35
"충청남도",1470,55,134,602,67,536,663,1,15,1687,61,134,636,65,571,840,1,15,1857,62,133,683,65,618,960,2,17,1991,62,127,61,619,1098,4,20,2083,65,126,61,660,1139,4,28,2053,68,126,59,649,1118,3,30,1988,72,125,58,640,1059,1,33,1974,77,125,55,647,1029,1,40,1955,84,121,52,642,1009,2,45,1916,99,118,53,630,964,2,50,1812,128,114,47,582,887,2,52
"전라북도",1506,45,166,553,79,474,738,-,4,1531,49,166,555,78,477,756,-,5,1580,49,166,560,79,481,800,0,5,1620,53,150,94,484,834,0,5,1647,54,147,97,497,841,0,11,1654,54,144,97,506,838,0,15,1623,55,144,96,502,807,0,19,1562,56,144,95,501,743,0,23,1497,58,144,94,489,685,1,26,1397,66,139,91,471,604,1,25,1288,82,137,88,429,523,1,28
"전라남도",1114,62,179,422,55,367,441,1,9,1135,68,179,423,55,368,456,1,8,1161,72,179,429,55,374,471,1,9,1188,76,179,55,380,488,1,9,1222,80,178,54,389,506,1,14,1242,86,175,54,408,498,1,20,1238,91,174,54,406,488,2,23,1251,97,174,55,406,490,2,27,1241,101,175,53,404,476,2,30,1205,114,174,52,392,440,2,31,1147,147,160,49,364,394,2,31
"경상북도",1827,109,87,872,39,833,743,-,16,1998,115,86,896,41,855,885,-,16,2162,119,85,931,39,892,1008,0,19,2264,126,85,39,911,1081,0,22,2273,132,85,39,924,1067,0,26,2212,133,84,39,907,1017,0,32,2130,134,84,39,891,944,0,38,2102,137,83,39,886,913,1,43,2063,140,82,39,862,890,1,49,1976,139,82,38,823,839,1,54,1844,160,82,36,752,758,1,55
"경상남도",2861,114,105,1075,55,1020,1552,-,15,3234,125,103,1103,47,1056,1886,-,17,3399,131,102,1139,49,1090,2007,0,20,3562,132,102,49,1100,2155,2,22,3626,133,102,51,1115,2197,2,26,3533,135,99,51,1141,2075,3,29,3349,137,101,50,1140,1880,3,38,3158,140,99,47,1120,1706,3,43,3084,145,98,47,1109,1627,4,54,2982,160,100,47,1090,1524,4,57,2777,209,98,47,1003,1358,4,58
"제주특별자치도",502,20,77,282,40,242,118,-,5,525,20,77,287,40,247,135,-,6,552,21,77,298,40,258,149,0,7,584,21,77,40,272,167,0,7,604,21,78,40,276,181,0,8,599,24,77,40,274,175,0,9,574,26,77,40,260,159,0,12,543,27,76,39,245,142,0,14,527,29,75,39,233,135,0,16,513,32,73,39,226,127,0,16,504,38,73,39,221,115,0,18
